State Code,State,Case Number,County Code,County,Monthid,Month,Day,Day of Month,Day of Week,Weekday,Year,Hour,Hour Range,Minute,Minute Digit,Latitude,Latitudeid,Longitude,Longitudeid,Light Conditionid,Light Condition,Weatherid,Weather Condition,Number of Deaths
37,North Carolina,370068,119,MECKLENBURG (119),1,January,1,1,6,Friday,2021,0,0:00am-0:59am,23,23,35.27918056,35.27918056,-80.7927,-80.7927,3,Dark - Lighted,2,Rain,1
37,North Carolina,370069,119,MECKLENBURG (119),1,January,4,4,2,Monday,2021,13,1:00pm-1:59pm,48,48,35.22885556,35.22885556,-80.809,-80.809,1,Daylight,1,Clear,1
37,North Carolina,370070,119,MECKLENBURG (119),1,January,9,9,7,Saturday,2021,0,0:00am-0:59am,27,27,35.19078889,35.19078889,-80.76264722,-80.76264722,3,Dark - Lighted,10,Cloudy,1
37,North Carolina,370071,119,MECKLENBURG (119),1,January,4,4,2,Monday,2021,19,7:00pm-7:59pm,21,21,35.21593056,35.21593056,-80.78447222,-80.78447222,3,Dark - Lighted,1,Clear,1
37,North Carolina,370072,119,MECKLENBURG (119),1,January,9,9,7,Saturday,2021,21,9:00pm-9:59pm,29,29,35.29851667,35.29851667,-80.99053611,-80.99053611,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370073,119,MECKLENBURG (119),1,January,13,13,4,Wednesday,2021,18,6:00pm-6:59pm,7,7,35.213825,35.213825,-80.75568889,-80.75568889,3,Dark - Lighted,1,Clear,1
37,North Carolina,370074,119,MECKLENBURG (119),1,January,22,22,6,Friday,2021,8,8:00am-8:59am,49,49,35.32171944,35.32171944,-80.94015833,-80.94015833,1,Daylight,1,Clear,1
37,North Carolina,370075,119,MECKLENBURG (119),1,January,28,28,5,Thursday,2021,16,4:00pm-4:59pm,30,30,35.09882778,35.09882778,-80.87786111,-80.87786111,1,Daylight,1,Clear,1
37,North Carolina,370076,119,MECKLENBURG (119),1,January,27,27,4,Wednesday,2021,20,8:00pm-8:59pm,29,29,35.11898333,35.11898333,-80.69790556,-80.69790556,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370077,123,MONTGOMERY (123),1,January,5,5,3,Tuesday,2021,21,9:00pm-9:59pm,51,51,35.17428056,35.17428056,-79.97247778,-79.97247778,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370078,123,MONTGOMERY (123),1,January,19,19,3,Tuesday,2021,16,4:00pm-4:59pm,7,7,35.17771667,35.17771667,-79.97850833,-79.97850833,1,Daylight,1,Clear,1
37,North Carolina,370079,125,MOORE (125),1,January,8,8,6,Friday,2021,2,2:00am-2:59am,13,13,35.21384444,35.21384444,-79.61203333,-79.61203333,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370080,125,MOORE (125),1,January,27,27,4,Wednesday,2021,4,4:00am-4:59am,56,56,35.13952778,35.13952778,-79.46893333,-79.46893333,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370081,127,NASH (127),1,January,9,9,7,Saturday,2021,9,9:00am-9:59am,52,52,35.94923056,35.94923056,-77.81265,-77.81265,1,Daylight,1,Clear,1
37,North Carolina,370082,127,NASH (127),1,January,25,25,2,Monday,2021,13,1:00pm-1:59pm,7,7,35.97663889,35.97663889,-77.80491389,-77.80491389,1,Daylight,2,Rain,1
37,North Carolina,370083,129,NEW HANOVER (129),1,January,18,18,2,Monday,2021,14,2:00pm-2:59pm,48,48,34.24950278,34.24950278,-77.94640556,-77.94640556,1,Daylight,1,Clear,1
37,North Carolina,370084,133,ONSLOW (133),1,January,15,15,6,Friday,2021,16,4:00pm-4:59pm,42,42,34.71238889,34.71238889,-77.48115278,-77.48115278,1,Daylight,1,Clear,1
37,North Carolina,370085,151,RANDOLPH (151),1,January,28,28,5,Thursday,2021,19,7:00pm-7:59pm,43,43,35.81526667,35.81526667,-79.73685833,-79.73685833,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370086,153,RICHMOND (153),1,January,4,4,2,Monday,2021,18,6:00pm-6:59pm,35,35,34.86663611,34.86663611,-79.64103333,-79.64103333,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370087,165,SCOTLAND (165),1,January,22,22,6,Friday,2021,9,9:00am-9:59am,40,40,34.79476111,34.79476111,-79.51465833,-79.51465833,1,Daylight,1,Clear,1
37,North Carolina,370088,165,SCOTLAND (165),1,January,22,22,6,Friday,2021,22,10:00pm-10:59pm,53,53,34.91181944,34.91181944,-79.43370556,-79.43370556,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370089,135,ORANGE (135),1,January,2,2,7,Saturday,2021,19,7:00pm-7:59pm,46,46,36.04706389,36.04706389,-79.10088333,-79.10088333,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370090,135,ORANGE (135),1,January,1,1,6,Friday,2021,13,1:00pm-1:59pm,6,6,36.05910556,36.05910556,-79.12953333,-79.12953333,1,Daylight,2,Rain,1
37,North Carolina,370091,135,ORANGE (135),1,January,14,14,5,Thursday,2021,21,9:00pm-9:59pm,10,10,35.9461,35.9461,-79.00980278,-79.00980278,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370092,135,ORANGE (135),1,January,7,7,5,Thursday,2021,16,4:00pm-4:59pm,11,11,35.90495,35.90495,-79.01606389,-79.01606389,1,Daylight,1,Clear,1
37,North Carolina,370094,145,PERSON (145),1,January,30,30,7,Saturday,2021,21,9:00pm-9:59pm,33,33,36.271825,36.271825,-78.88285278,-78.88285278,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370095,147,PITT (147),1,January,1,1,6,Friday,2021,19,7:00pm-7:59pm,35,35,35.58838333,35.58838333,-77.38806667,-77.38806667,3,Dark - Lighted,2,Rain,1
37,North Carolina,370096,147,PITT (147),1,January,21,21,5,Thursday,2021,3,3:00am-3:59am,25,25,35.49770556,35.49770556,-77.29941667,-77.29941667,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370097,155,ROBESON (155),1,January,20,20,4,Wednesday,2021,15,3:00pm-3:59pm,47,47,34.677325,34.677325,-79.12990278,-79.12990278,1,Daylight,1,Clear,1
37,North Carolina,370098,155,ROBESON (155),1,January,16,16,7,Saturday,2021,7,7:00am-7:59am,44,44,34.87507778,34.87507778,-79.09361667,-79.09361667,1,Daylight,1,Clear,1
37,North Carolina,370099,155,ROBESON (155),1,January,18,18,2,Monday,2021,17,5:00pm-5:59pm,53,53,34.61753889,34.61753889,-78.99297778,-78.99297778,3,Dark - Lighted,1,Clear,1
37,North Carolina,370100,157,ROCKINGHAM (157),1,January,5,5,3,Tuesday,2021,21,9:00pm-9:59pm,1,1,36.38928611,36.38928611,-79.81405556,-79.81405556,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370101,159,ROWAN (159),1,January,12,12,3,Tuesday,2021,16,4:00pm-4:59pm,50,50,35.72345278,35.72345278,-80.61401389,-80.61401389,1,Daylight,1,Clear,1
37,North Carolina,370102,159,ROWAN (159),1,January,29,29,6,Friday,2021,22,10:00pm-10:59pm,58,58,35.65524167,35.65524167,-80.50017778,-80.50017778,2,Dark - Not Lighted,1,Clear,2
