ST_CASE,STATENAME,COUNTYNAME,CITYNAME,PEDS,FATALS,Date,LATITUDE,LONGITUD
370143,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-02-07,34.82238611,-77.957775
370144,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-02-10,35.12913333,-78.12743889
370145,North Carolina,DUPLIN ,NOT APPLICABLE,0,2,2021-02-20,35.02808611,-77.85155556
370146,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-02-25,34.79201944,-78.08691389
370147,North Carolina,FORSYTH ,WINSTON SALEM,0,1,2021-02-01,36.05197222,-80.35907222
370148,North Carolina,FORSYTH ,WINSTON SALEM,0,1,2021-02-10,36.04873611,-80.33537222
370149,North Carolina,FORSYTH ,WINSTON SALEM,1,1,2021-02-25,36.07323333,-80.29772778
370150,North Carolina,FRANKLIN ,LOUISBURG,0,1,2021-02-05,36.11259444,-78.29256389
370151,North Carolina,GRANVILLE ,BUTNER,0,1,2021-02-06,36.12701944,-78.75176944
370152,North Carolina,GRANVILLE ,NOT APPLICABLE,1,1,2021-02-06,36.28446667,-78.59357222
370153,North Carolina,GUILFORD ,GREENSBORO,1,1,2021-02-01,36.13079444,-79.76128889
370154,North Carolina,GUILFORD ,NOT APPLICABLE,1,1,2021-02-22,36.00071111,-79.86079167
370155,North Carolina,GUILFORD ,HIGH POINT,1,1,2021-02-18,35.98235833,-79.97423611
370156,North Carolina,ALAMANCE ,NOT APPLICABLE,0,1,2021-03-07,36.06295833,-79.51481111
370157,North Carolina,HARNETT ,NOT APPLICABLE,0,1,2021-02-13,35.46083333,-78.83039167
370158,North Carolina,HAYWOOD ,NOT APPLICABLE,0,1,2021-02-08,35.47736111,-83.023625
370159,North Carolina,HENDERSON ,NOT APPLICABLE,0,1,2021-02-26,35.34659722,-82.44274722
370160,North Carolina,HOKE ,NOT APPLICABLE,0,1,2021-02-05,34.92991389,-79.11064167
370161,North Carolina,JOHNSTON ,NOT APPLICABLE,0,1,2021-02-02,35.53114444,-78.26562222
370162,North Carolina,LENOIR ,KINSTON,0,1,2021-02-09,35.26766389,-77.57574167
370163,North Carolina,LINCOLN ,NOT APPLICABLE,0,2,2021-02-07,35.44874167,-81.08178333
370164,North Carolina,LINCOLN ,NOT APPLICABLE,0,1,2021-02-15,77.7777,777.7777
370165,North Carolina,NASH ,NOT APPLICABLE,0,1,2021-02-10,35.96061667,-78.00113056
370166,North Carolina,NEW HANOVER ,NOT APPLICABLE,0,1,2021-02-24,34.26098056,-77.93065833
370167,North Carolina,NEW HANOVER ,WILMINGTON,0,1,2021-02-09,34.20919722,-77.94445278
370168,North Carolina,ONSLOW ,NOT APPLICABLE,1,1,2021-02-20,34.5521,-77.41646944
370169,North Carolina,ONSLOW ,JACKSONVILLE,0,1,2021-02-02,34.75556111,-77.42313056
370170,North Carolina,PASQUOTANK ,NOT APPLICABLE,0,2,2021-02-05,36.43033889,-76.44484444
370171,North Carolina,PERQUIMANS ,NOT APPLICABLE,0,1,2021-02-07,36.2113,-76.42448333
370172,North Carolina,PITT ,NOT APPLICABLE,0,1,2021-02-07,35.49193056,-77.41679722
370173,North Carolina,PITT ,NOT APPLICABLE,0,1,2021-02-06,35.693075,-77.34804722
370174,North Carolina,RANDOLPH ,NOT APPLICABLE,0,1,2021-02-06,35.76206111,-79.90104722
370175,North Carolina,RANDOLPH ,TRINITY,0,1,2021-02-03,35.87163611,-79.99137778
370176,North Carolina,RANDOLPH ,NOT APPLICABLE,0,1,2021-02-24,35.81710556,-79.84461667
370177,North Carolina,ROBESON ,LUMBERTON,0,1,2021-02-20,34.64401389,-79.07611667
370178,North Carolina,ROBESON ,NOT APPLICABLE,0,1,2021-02-13,34.56985833,-79.20512222
370179,North Carolina,ROBESON ,NOT APPLICABLE,0,1,2021-02-17,34.69820833,-79.22058056
370180,North Carolina,ROBESON ,LUMBERTON,0,1,2021-02-24,34.62100278,-78.98126389
370181,North Carolina,ROCKINGHAM ,NOT APPLICABLE,0,1,2021-02-20,36.41360278,-79.60794444
370182,North Carolina,ROWAN ,SALISBURY,0,1,2021-02-07,35.66746667,-80.46309722
370183,North Carolina,ROWAN ,NOT APPLICABLE,1,1,2021-02-07,35.57949444,-80.40767778
370184,North Carolina,RUTHERFORD ,NOT APPLICABLE,0,1,2021-02-09,35.28730278,-81.89134722
370185,North Carolina,SCOTLAND ,NOT APPLICABLE,0,1,2021-02-09,34.71840833,-79.48821389
370186,North Carolina,SCOTLAND ,NOT APPLICABLE,0,1,2021-02-13,34.79281944,-79.51178889
370187,North Carolina,SCOTLAND ,NOT APPLICABLE,0,2,2021-02-13,34.74526667,-79.46171389
370188,North Carolina,SCOTLAND ,NOT APPLICABLE,0,1,2021-02-17,34.68308333,-79.48538889
370189,North Carolina,SCOTLAND ,NOT APPLICABLE,0,1,2021-02-19,34.77266667,-79.332675
370190,North Carolina,SURRY ,MOUNT AIRY,0,1,2021-02-03,36.49811389,-80.61236667
370191,North Carolina,UNION ,MARSHVILLE,0,1,2021-02-23,34.98600278,-80.36684722
370192,North Carolina,WAKE ,NOT APPLICABLE,0,1,2021-02-28,35.85795,-78.86195
370193,North Carolina,WAKE ,RALEIGH,1,1,2021-02-19,35.78710278,-78.57403889
370194,North Carolina,WARREN ,NOT APPLICABLE,0,2,2021-02-01,36.51402778,-78.07190833
370195,North Carolina,WILKES ,WILKESBORO,0,1,2021-02-12,36.14056667,-81.18724444
370196,North Carolina,HARNETT ,NOT APPLICABLE,1,1,2021-02-13,35.22044444,-78.94090278
370197,North Carolina,MONTGOMERY ,NOT APPLICABLE,0,1,2021-01-31,35.41224167,-80.00222222
370198,North Carolina,ALLEGHANY ,SPARTA,0,1,2021-03-22,36.50386667,-81.12278889
370199,North Carolina,BERTIE ,NOT APPLICABLE,0,1,2021-03-15,36.16371667,-77.21733889
370200,North Carolina,BLADEN ,NOT APPLICABLE,0,1,2021-03-15,34.64715,-78.55586667
370201,North Carolina,BRUNSWICK ,NOT APPLICABLE,0,1,2021-03-15,34.06120278,-78.15325278
370202,North Carolina,BUNCOMBE ,NOT APPLICABLE,1,1,2021-03-04,35.58773333,-82.45560278
370203,North Carolina,BUNCOMBE ,NOT APPLICABLE,0,1,2021-03-08,35.59868889,-82.53421111
370204,North Carolina,BUNCOMBE ,NOT APPLICABLE,0,1,2021-03-23,35.69338333,-82.51398056
370205,North Carolina,BURKE ,NOT APPLICABLE,0,1,2021-03-25,35.78716389,-81.75789722
370206,North Carolina,CABARRUS ,KANNAPOLIS,0,1,2021-03-01,35.50079444,-80.64095
370207,North Carolina,CABARRUS ,NOT APPLICABLE,1,1,2021-03-29,35.36609722,-80.57715278
370208,North Carolina,CATAWBA ,LONGVIEW,0,1,2021-03-14,35.69846667,-81.27437778
370209,North Carolina,CHATHAM ,NOT APPLICABLE,0,1,2021-03-30,35.75993611,-79.19089444
370210,North Carolina,CLEVELAND ,NOT APPLICABLE,0,1,2021-03-18,35.24723611,-81.40751944
370211,North Carolina,COLUMBUS ,NOT APPLICABLE,0,1,2021-03-18,33.97959444,-78.66395556
370212,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-03-15,35.29338056,-77.139625
370213,North Carolina,CRAVEN ,NEW BERN,1,1,2021-03-09,35.08709167,-77.06832222
370214,North Carolina,CUMBERLAND ,NOT APPLICABLE,1,1,2021-03-15,35.17775556,-78.85745556
370215,North Carolina,CUMBERLAND ,NOT APPLICABLE,0,1,2021-03-27,35.06576389,-78.77195278
370216,North Carolina,CUMBERLAND ,NOT APPLICABLE,0,1,2021-03-27,34.96104167,-78.84560556
370217,North Carolina,CUMBERLAND ,NOT APPLICABLE,0,1,2021-03-31,35.20942778,-78.66196944
370218,North Carolina,CURRITUCK ,NOT APPLICABLE,0,1,2021-03-22,36.09100278,-75.80619167
370219,North Carolina,DAVIDSON ,NOT APPLICABLE,1,1,2021-03-07,35.944775,-80.31433611
370220,North Carolina,DAVIDSON ,NOT APPLICABLE,0,1,2021-03-07,35.82758889,-80.16161389
370222,North Carolina,DAVIE ,NOT APPLICABLE,0,1,2021-03-17,35.88761389,-80.52415833
370223,North Carolina,DAVIE ,NOT APPLICABLE,0,1,2021-03-28,35.912225,-80.61992778
370224,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-03-09,35.07440833,-78.13051111
370225,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-03-21,34.88211944,-77.8955
370226,North Carolina,DURHAM ,DURHAM,0,1,2021-03-06,36.03873611,-78.95642778
370227,North Carolina,DURHAM ,DURHAM,0,1,2021-03-27,36.01059167,-78.92858889
370228,North Carolina,EDGECOMBE ,NOT APPLICABLE,0,1,2021-03-27,36.03741667,-77.70988333
370229,North Carolina,FORSYTH ,WINSTON SALEM,0,1,2021-03-08,36.09911389,-80.21709167
370230,North Carolina,FORSYTH ,NOT APPLICABLE,0,1,2021-03-01,36.23311667,-80.31744722
370231,North Carolina,FORSYTH ,WINSTON SALEM,0,1,2021-03-30,36.16134167,-80.28274167
370232,North Carolina,FRANKLIN ,NOT APPLICABLE,1,1,2021-03-20,36.09616944,-78.28140833
370233,North Carolina,GASTON ,NOT APPLICABLE,0,2,2021-03-10,35.35876111,-81.20211389
370234,North Carolina,GUILFORD ,GREENSBORO,1,1,2021-03-15,36.00803333,-79.79356111
370235,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-03-15,36.06613056,-79.76961667
370236,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-03-15,36.01410278,-79.84204722
370237,North Carolina,GUILFORD ,NOT APPLICABLE,1,1,2021-03-26,35.99763611,-79.86465
370238,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-03-29,36.07642778,-79.75761667
370239,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-03-24,36.01062778,-79.80483333
370240,North Carolina,HALIFAX ,NOT APPLICABLE,0,1,2021-03-06,36.22723889,-77.93371944
370241,North Carolina,HALIFAX ,NOT APPLICABLE,0,1,2021-03-12,36.39654722,-77.645925
370242,North Carolina,HARNETT ,NOT APPLICABLE,0,1,2021-03-02,35.29676111,-79.14985556
370243,North Carolina,HARNETT ,NOT APPLICABLE,0,1,2021-03-20,35.31233333,-78.58060556
370244,North Carolina,HARNETT ,NOT APPLICABLE,1,1,2021-03-05,35.41176111,-79.05398056
370245,North Carolina,HAYWOOD ,NOT APPLICABLE,0,1,2021-03-14,35.528125,-82.925275
370246,North Carolina,HAYWOOD ,NOT APPLICABLE,1,1,2021-03-18,35.52640833,-82.99425278
370247,North Carolina,IREDELL ,NOT APPLICABLE,1,1,2021-03-04,35.76764722,-80.99043611
370248,North Carolina,IREDELL ,NOT APPLICABLE,0,1,2021-03-04,35.60618333,-80.93442778
370249,North Carolina,JACKSON ,NOT APPLICABLE,0,2,2021-03-18,35.40353333,-83.29206389
370251,North Carolina,JACKSON ,NOT APPLICABLE,0,1,2021-03-30,35.38847222,-83.27134167
370252,North Carolina,JOHNSTON ,NOT APPLICABLE,0,1,2021-03-07,35.49783889,-78.33369167
370253,North Carolina,JOHNSTON ,NOT APPLICABLE,0,1,2021-03-10,35.47651111,-78.55920278
370254,North Carolina,JOHNSTON ,NOT APPLICABLE,0,1,2021-03-27,35.51868056,-78.33938889
370255,North Carolina,JOHNSTON ,NOT APPLICABLE,0,1,2021-03-29,35.47976389,-78.23044722
370256,North Carolina,LEE ,NOT APPLICABLE,0,1,2021-03-15,35.436325,-79.22228889
370257,North Carolina,LENOIR ,NOT APPLICABLE,0,3,2021-03-18,35.11015,-77.639025
370258,North Carolina,LINCOLN ,NOT APPLICABLE,0,2,2021-03-26,35.53964722,-81.02343056
370259,North Carolina,MADISON ,NOT APPLICABLE,0,1,2021-03-29,35.82457222,-82.56581389
370260,North Carolina,MARTIN ,NOT APPLICABLE,0,1,2021-03-10,35.77138611,-77.08677222
370261,North Carolina,MECKLENBURG ,CHARLOTTE,0,1,2021-03-04,35.20949444,-80.70345278
370262,North Carolina,MECKLENBURG ,CHARLOTTE,0,1,2021-03-06,35.33077222,-80.91683611
370263,North Carolina,MECKLENBURG ,CHARLOTTE,0,1,2021-03-18,35.13846111,-80.96726944
370264,North Carolina,MONTGOMERY ,NOT APPLICABLE,1,1,2021-03-12,35.20975,-79.72684167
